level_0,index,Tb
0,0,-1000.0
1,1,-1000.0
2,2,-1000.0
3,3,-1000.0
4,4,-1000.0
5,5,-1000.0
6,6,-1000.0
7,8,-1000.0
8,9,439.475
9,10,-1000.0
10,11,-1000.0
11,12,-1000.0
12,13,-1000.0
13,14,-1000.0
14,15,512.576
15,16,-1000.0
16,18,-1000.0
17,20,-1000.0
18,21,-1000.0
19,22,-1000.0
20,23,-1000.0
21,24,-1000.0
22,25,-1000.0
23,26,-1000.0
24,27,-1000.0
25,28,586.975
26,29,-1000.0
27,30,-1000.0
28,31,-1000.0
29,32,-1000.0
30,33,-1000.0
31,34,-1000.0
32,35,-1000.0
33,37,-1000.0
34,38,-1000.0
35,39,-1000.0
36,40,-1000.0
37,41,-1000.0
38,43,-1000.0
39,44,-1000.0
40,45,-1000.0
41,46,-1000.0
42,47,-1000.0
43,48,-1000.0
44,49,-1000.0
45,50,-1000.0
46,51,-1000.0
47,52,-1000.0
48,53,-1000.0
49,54,-1000.0
50,55,-1000.0
51,56,-1000.0
52,57,-1000.0
53,58,-1000.0
54,59,-1000.0
55,60,-1000.0
56,61,-1000.0
57,62,-1000.0
58,63,-1000.0
59,65,-1000.0
60,66,-1000.0
61,67,-1000.0
62,68,331.237
63,69,-1000.0
64,70,-1000.0
65,71,-1000.0
66,72,-1000.0
67,73,-1000.0
68,74,-1000.0
69,75,-1000.0
70,76,-1000.0
71,77,-1000.0
72,78,-1000.0
73,79,-1000.0
74,80,-1000.0
75,81,-1000.0
76,82,-1000.0
77,83,-1000.0
78,84,-1000.0
79,85,-1000.0
80,86,-1000.0
81,87,577.725
82,89,-1000.0
83,90,-1000.0
84,91,-1000.0
85,92,-1000.0
86,93,-1000.0
87,94,-1000.0
88,95,544.698
89,96,-1000.0
90,97,-1000.0
91,98,-1000.0
92,99,-1000.0
93,100,-1000.0
94,101,-1000.0
95,102,-1000.0
96,103,-1000.0
97,104,-1000.0
98,105,-1000.0
99,107,-1000.0
100,108,-1000.0
101,109,-1000.0
102,110,-1000.0
103,111,-1000.0
104,112,-1000.0
105,113,-1000.0
106,114,-1000.0
107,115,-1000.0
108,116,-1000.0
109,117,-1000.0
110,118,-1000.0
111,119,-1000.0
112,120,-1000.0
113,121,-1000.0
114,122,-1000.0
115,123,-1000.0
116,124,-1000.0
117,125,-1000.0
118,126,-1000.0
119,127,-1000.0
120,128,-1000.0
121,129,-1000.0
122,130,-1000.0
123,131,-1000.0
124,132,-1000.0
125,133,-1000.0
126,134,-1000.0
127,135,-1000.0
128,136,-1000.0
129,137,-1000.0
130,138,-1000.0
131,139,-1000.0
132,140,-1000.0
133,141,-1000.0
134,142,-1000.0
135,143,-1000.0
136,144,-1000.0
137,145,-1000.0
138,146,-1000.0
139,147,-1000.0
140,148,-1000.0
141,149,-1000.0
142,150,-1000.0
143,151,-1000.0
144,152,-1000.0
145,153,-1000.0
146,154,-1000.0
147,155,-1000.0
148,156,-1000.0
149,157,-1000.0
150,158,-1000.0
151,159,-1000.0
152,160,-1000.0
153,161,-1000.0
154,162,-1000.0
155,163,-1000.0
156,164,-1000.0
157,165,-1000.0
158,166,-1000.0
159,167,-1000.0
160,169,-1000.0
161,170,-1000.0
162,171,-1000.0
163,172,-1000.0
164,173,-1000.0
165,174,-1000.0
166,175,-1000.0
